years,months,days,hours,mins,secs,msecs
2022,1,10,4,0,0,0
2022,1,10,4,10,0,0
2022,1,10,4,20,0,0
2022,1,10,4,30,0,0
2022,1,10,4,40,0,0
2022,1,10,4,50,0,0
2022,1,10,5,0,0,0
2022,1,10,5,10,0,0
2022,1,10,5,20,0,0
2022,1,10,5,30,0,0
2022,1,10,5,40,0,0
2022,1,10,5,50,0,0
2022,1,10,6,0,0,0
2022,1,11,5,0,0,0
2022,1,11,5,10,0,0
2022,1,11,5,20,0,0
2022,1,11,5,30,0,0
2022,1,11,5,40,0,0
2022,1,11,5,50,0,0
2022,1,11,6,0,0,0
2022,1,11,6,10,0,0
2022,1,11,6,20,0,0
2022,1,11,6,30,0,0
2022,1,11,6,40,0,0
2022,1,11,6,50,0,0
2022,1,11,7,0,0,0
2022,1,11,7,10,0,0
2022,1,12,4,0,0,0
2022,1,12,4,10,0,0
2022,1,12,4,20,0,0
2022,1,12,4,30,0,0
2022,1,12,4,40,0,0
2022,1,12,4,50,0,0
2022,1,12,5,0,0,0
2022,1,12,5,10,0,0
2022,1,12,5,20,0,0
2022,1,12,5,30,0,0
2022,1,12,5,40,0,0
2022,1,12,5,50,0,0
2022,1,12,6,0,0,0
2022,1,12,6,10,0,0
2022,1,12,6,20,0,0
2022,1,12,6,30,0,0
2022,1,12,6,40,0,0
2022,1,12,6,50,0,0
2022,1,12,7,0,0,0
2022,1,12,7,10,0,0
2022,1,12,7,20,0,0
2022,1,12,7,30,0,0
2022,1,12,7,40,0,0
2022,1,12,7,50,0,0
2022,1,12,8,0,0,0
2022,1,14,13,40,0,0
2022,1,14,13,50,0,0
2022,1,14,14,0,0,0
2022,1,14,14,10,0,0
2022,1,14,14,20,0,0
2022,1,21,4,0,0,0
2022,1,21,4,10,0,0
2022,1,21,4,20,0,0
2022,1,21,4,30,0,0
2022,1,21,4,40,0,0
2022,1,21,4,50,0,0
2022,1,21,5,0,0,0
2022,1,21,5,10,0,0
2022,1,21,5,20,0,0
2022,1,21,5,30,0,0
2022,1,21,5,40,0,0
2022,1,21,5,50,0,0
2022,1,21,6,0,0,0
2022,1,21,6,10,0,0
2022,1,21,6,20,0,0
2022,1,24,4,0,0,0
2022,1,24,4,10,0,0
2022,1,24,4,20,0,0
2022,1,24,4,30,0,0
2022,1,24,4,40,0,0
2022,1,24,4,50,0,0
2022,1,24,5,0,0,0
2022,1,24,5,10,0,0
2022,1,24,5,20,0,0
2022,1,24,5,30,0,0
2022,1,24,5,40,0,0
2022,1,24,5,50,0,0
2022,1,24,6,0,0,0
2022,1,24,6,10,0,0
2022,1,24,6,20,0,0
2022,1,24,6,30,0,0
2022,1,24,6,40,0,0
2022,1,24,6,50,0,0
2022,1,24,7,0,0,0
2022,1,24,7,10,0,0
2022,1,24,7,20,0,0
2022,1,24,13,30,0,0
2022,1,24,13,40,0,0
2022,1,24,13,50,0,0
2022,1,24,14,0,0,0
2022,1,24,14,10,0,0
2022,1,24,14,20,0,0
2022,1,24,14,30,0,0
2022,1,24,14,40,0,0
2022,1,24,14,50,0,0
2022,1,24,15,0,0,0
2022,1,24,15,10,0,0
2022,1,24,15,20,0,0
2022,1,24,15,30,0,0
2022,1,24,15,40,0,0
2022,1,24,15,50,0,0
2022,1,24,16,0,0,0
2022,1,24,16,10,0,0
2022,1,24,16,20,0,0
2022,1,24,16,30,0,0
2022,1,24,16,40,0,0
2022,1,24,16,50,0,0
2022,1,25,4,0,0,0
2022,1,25,4,10,0,0
2022,1,25,4,20,0,0
2022,1,25,4,30,0,0
2022,1,25,4,40,0,0
2022,1,25,4,50,0,0
2022,1,25,5,0,0,0
2022,1,25,5,10,0,0
2022,1,25,5,20,0,0
2022,1,25,5,30,0,0
2022,1,25,5,40,0,0
2022,1,25,5,50,0,0
2022,1,25,14,10,0,0
2022,1,25,14,20,0,0
2022,1,25,14,30,0,0
2022,1,25,14,40,0,0
2022,1,25,14,50,0,0
2022,1,25,15,0,0,0
2022,1,25,15,10,0,0
2022,1,25,15,20,0,0
2022,1,25,15,30,0,0
2022,1,26,4,30,0,0
2022,1,26,4,40,0,0
2022,1,26,4,50,0,0
2022,1,26,5,0,0,0
2022,1,26,5,10,0,0
2022,1,26,5,20,0,0
2022,1,27,4,0,0,0
2022,1,27,4,10,0,0
2022,1,27,4,20,0,0
2022,1,27,4,30,0,0
2022,1,27,4,40,0,0
2022,1,27,4,50,0,0
2022,1,27,5,0,0,0
2022,1,27,5,10,0,0
2022,1,27,5,20,0,0
2022,1,27,5,30,0,0
2022,1,27,5,40,0,0
2022,1,27,5,50,0,0
2022,1,27,6,0,0,0
2022,1,27,6,10,0,0
2022,1,27,6,20,0,0
2022,1,27,6,30,0,0
2022,1,27,6,40,0,0
2022,1,27,6,50,0,0
2022,1,27,7,0,0,0
2022,1,27,7,10,0,0
2022,1,27,7,20,0,0
2022,1,27,7,30,0,0
2022,1,27,7,40,0,0
2022,1,27,7,50,0,0
2022,1,28,15,40,0,0
2022,1,28,15,50,0,0
2022,1,28,16,0,0,0
2022,1,28,16,10,0,0
2022,1,28,16,20,0,0
2022,1,28,16,30,0,0
2022,1,28,16,40,0,0
2022,1,28,16,50,0,0
2022,1,29,16,0,0,0
2022,1,29,16,10,0,0
2022,1,29,16,20,0,0
2022,1,29,16,30,0,0
2022,1,29,16,40,0,0
2022,1,29,16,50,0,0
